ColorID,Skill Name,Description,Ships,Retrofit?,Augment?,Fate?
Blue[0],A Genius Keeps Things Simple!,"Every 20s: 70% chance to fire a Lv.1 (Lv.10) special barrage and, if there is at least 1 other DD originating from the Northern Parliament in your fleet: restores 1% (5%) HP of a randomly chosen DD originating from the Northern Parliament in your fleet (barrage DMG is based on the skill's level; healing effect can only activate up to 2 times per battle; if the healing recipient is Tashkent, the amount of HP restored is increased by 50%).",Soobrazitelny,,,
Blue[1],A Journey from Heaven to Sea,"Once, when the battle starts, and with a 20% (40%) chance every 15s after that: deploys a smokescreen that increases Evasion Rate by 20% (40%) for all ships in it (smokescreen lasts for 5s; Evasion Rate buff does not stack with other smokescreen skills). When this ship has the Out of Ammo debuff: increases the proc chance of this smokescreen to 40% (80%) and decreases the DMG penalty of the debuff by 5% (15%).
Every 20s: 50% chance to restore 1% (3.5%) HP for the lowest percentage BB/BC in your fleet (this effect can only activate up to 2 times per battle).",Hai Chi,,,
Blue[2],Absolute Evasion,"When there are 4 or more Eagle Union ships in the same fleet as this ship (including self): 4.5% (12%) chance to reduce DMG taken to 1 when a ship in your fleet is attacked by enemy Torpedo Bombers or Dive Bombers. (This skill does not affect end-screen damage).
DMG reduction has a chance to proc with general aviation damage. It is not limited to DMG from Torpedo Bombers and Dive Bombers.",Essex,,,
Blue[3],Abyssal Banquet,"If this ship is equipped with a Normal or AP main gun, decrease this ship's damage taken by 5% (15%) and increase this ship's critical rate by 4.5% (12%).
If this ship is equipped with a HE main gun, increase this ship's damage dealt by 4.5% (12%), but her main gun loses the ability to ignite enemies.
If this ship is equipped with a high-caliber main gun (280mm or higher), increase this ship's main gun efficiency by 4.5% (12%). [This bonus stacks with the other effects listed in this skill.]",Ägir,,,
Blue[4],Adaptive Bladework,"Decreases this ship's torpedo DMG taken by 10% (20%). When the battle starts, and every 20s: 1) Once per battle, if this ship's HP is below 25%: restores 1% (10%) of this ship's max HP; 2) If this ship's HP is above 25%: fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level) and increases this ship's Crit Rate by 5% (15%) for 15s; 3) If this ship has sunk 3 or more enemy ships in the battle: decreases this ship's DMG taken by 10% (20%) for 15s.",Sakawa,,,
Blue[5],Against the Current,"Increases own Reload by 0.6 (1) for every 1% loss in her HP. Additionally, when HP is 20% or less, heals for 3% max HP every 2s for 9sIn game description says 8s but presumably is actually 9s to avoid ambiguity. This effect only occurs once per battle.",Monarch,,,
Blue[6],Against the Current+,"Increases own Reload by 0.6 (1) for every 1% loss in her HP. Additionally, when HP is 20% or less, heals for 3% max HP every 2s for 11sIn game description says 10s but presumably is actually 11s to avoid ambiguity. This effect only occurs once per battle.
(Replaces ""Against the Current"")",Monarch,,,Needs Fate Sim 5
Blue[7],Air Cover,When launching an airstrike: decreases damage taken by the Vanguard Fleet by 5% (15%) for 8s. Does not stack with the same skill.,Glorious,,,
Blue[8],Air-Surface Switch,"While this ship is equipping the Twin 127mm (5""/38 Mk 38): increases this ship's AA by 5% (15%) but decreases its FP by 15% (5%); while not equipping this gun: increases this ship's FP by 5% (15%) but decreases its AA by 15% (5%).",Biloxi,,,
Blue[9],All-Obscuring Eye,"Whenever one of this ship's skills decreases her speed, also increase this ship's Evasion Rate by 1% (10%) for the duration of the effect. Decrease this ship's damage taken by 5% (20%). When this ship takes damage: 70% chance to decrease her Speed by 10% and increase her RLD, FP, and EVA by 5% (20%) for 7s. This effect has a 10s cooldown between activations.",Chikuma,,,
Blue[10],Alongside the Ocean's Wings,Decreases the loading time of this ship's first Airstrike by 10% (30%). Decreases DMG taken by 1% (10%) for all The Idolmaster collab ships in your fleet.,Chihaya Kisaragi,,,
Blue[11],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Atlanta,,,
Blue[12],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Cleveland,,,
Blue[13],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Columbia,,,
Blue[14],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Denver,,,
Blue[15],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Hammann,Needs Retrofit,,
Blue[16],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Isuzu,,,
Blue[17],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Juneau,,,
Blue[18],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Montpelier,,,
Blue[19],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Newcastle,,,
Blue[20],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Niizuki,,,
Blue[21],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",St. Louis,,,
Blue[22],Anti-Air Mode,"When firing Anti-Air Guns: 25% chance to increase own Anti-Air by 20% (40%), and decrease own Firepower by 40% (20%) for 3s.",Stanly,,,
Blue[23],Anti-Air Mode - Montpelier,"Decreases this ship's DMG taken by 5% (15%). When this ship fires her AA guns: 25.0% chance to increase this ship's AA by 20% (40%), but decrease her FP by 40% (20%), for 3s; if this ship has Eagle Union gear equipped, this AA buff is doubled and the FP debuff does not apply. Every 20s: 25.0% chance to increase this ship's DMG dealt by 5% (25%) for 8s.",Montpelier,,Needs Augment,
Blue[24],Anti-Air Vigilance,Increases this ship's AA by 5% (15%).,Bush,,,
Blue[25],Anti-Air Vigilance,Increases this ship's AA by 5% (15%).,Grozny,,,
Blue[26],Anti-Air Vigilance,Increases this ship's AA by 5% (15%).,Kimberly,,,
Blue[27],Anti-Destroyer Tactics,Increases own Hit Rate by 5% (20%) against enemy destroyers and decreases Torpedo damage taken from enemy destroyers by 5% (20%).,Asashio,,,
Blue[28],Anti-Destroyer Tactics,Increases own Hit Rate by 5% (20%) against enemy destroyers and decreases Torpedo damage taken from enemy destroyers by 5% (20%).,Ooshio,,,
Blue[29],Anti-Destroyer Tactics,Increases own Hit Rate by 5% (20%) against enemy destroyers and decreases Torpedo damage taken from enemy destroyers by 5% (20%).,Uranami,,,
Blue[30],Anti-Torpedo Field,"10s after battle starts, spawn a shield that can block up to 3 torpedo attacks; shield lasts for 20s. When this shield is destroyed (and again when the skill ends): launch a Lvl.1 (Lvl.10) torpedo barrage. Spawns the shield again 30s after time-out timer.",Z26,,,
Blue[31],AP Protection,Decreases the DMG this ship takes from AP by 10% (20%).,Kumano,,,
Blue[32],AP Protection,Decreases the DMG this ship takes from AP by 10% (20%).,Mikuma,,,
Blue[33],AP Protection,Decreases the DMG this ship takes from AP by 10% (20%).,Mogami,,,
Blue[34],AP Protection,Decreases the DMG this ship takes from AP by 10% (20%).,Suzuya,,,
Blue[35],AP Protection - Mogami,"Decreases this ship's DMG taken from AP shells by 10% (20%). 10s after the battle starts, and every 20s after that: deploys a barrier (lasts 10s) that can negate up to 1.2% (3%) of this ship's max HP in DMG; when this barrier breaks or expires: fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level). (Replaces AP Protection)",Mogami,,Needs Augment,
Blue[36],Apotheosis: Lightplume Vestments,"Increases this ship's EVA by 5% (15%) and FP by 5% (20%). Once per battle, when this ship's HP falls below 50% as a result of DMG taken: restores 3% of this ship's max HP once per second for 5s, then sets this ship's Secondary Gun Eff. Range and Shell Range to 95 and increases her Secondary Gun efficiency by 30%.",Flandre,,,
Blue[37],Aquatic Vortex,"Every 10s, 20% (40%) chance to increase own Evasion by 30% (60%) for 8s.",Maury,,,
Blue[38],Armoured Hangar,Decreases damage taken to self by 3.5% (8%). When launching an airstrike: decreases damage taken by other ships in the Main Fleet by 3.5% (8%) for 10s.,Formidable,,,
Blue[39],"As Leaves Fall, Geese Take Flight","Increases this ship's EVA by 4% (10%) and decreases her DMG taken from cruisers by 5% (15%). While this ship is afloat: decreases all your other ships' DMG taken by 1% (5%). Once per battle, when this ship's HP falls below 35% as a result of DMG taken: this ship recovers 4% (10%) of her max HP.",Hatsuzuki,,,
