ColorID,Skill Name,Description,Ships,Retrofit?,Augment?,Fate?
Red[0],"2,700 Pounds of Justice","When this ship deals DMG to an enemy with its Main Guns: DMG increase is based on shell traveling distance from 35 to 104 (121), up to a maximum of 5% (15%). When this ship's Secondary Gun slot is equipped with Eagle Union gear: ammunition type is changed to Super-Heavy AP, and DMG increase based on shell traveling distance from 35 to 105 (121), up to a maximum of 15% (30%) instead.
(Super-Heavy AP has 65/135/115 modifiers and 20% chance to inflict Armor Break effect. This effect causes enemies to take 8% more DMG for 6s, and only stacks with Armor Break caused by New Jersey and Valiant.)",Massachusetts,,,
Red[1],A Legend's Inheritance,"When this ship fires its Main Guns: 40% (70%) chance to fire a special barrage (DMG is based on the skill's level).
Barrage preview (gif)",Izumo,,,
Red[2],A Legend's Inheritance+,"When this ship fires its Main Guns: 40% (70%) chance to fire an improved special barrage. (DMG is based on the skill's level).
(Replaces ""A Legend's Inheritance"")
Barrage preview (gif)",Izumo,,,Needs Fate Sim 5
Red[3],A Surprise for Mew!,"3s after the battle starts, and every 15s after that: fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level; when this barrage fires, increases this ship's AA by 5% (15%) for 10s).",Little Cheshire,,,
Red[4],AA Firepower,Increases this ship's FP by 10% (30%) of its total AA stat (base stat plus extra stats gained from gears).,North Carolina,,,
Red[5],Absolute Adaptability,"When this ship fires its Main Guns: if all of your afloat Vanguard ships have no less than 50% of their max HP remaining, fires a special barrage (DMG is based on the skill's level). Otherwise, grants a shield that lasts for 6s and blocks up to 6 shells to the ship in the frontmost position of your Vanguard.",Amagi-chan,,,
Red[6],Absolving Light,When this ship fires her Main Guns: 20.0% (50.0%) chance to fire a Lv.1 (Lv.10) special barrage using Main Gun shells and torpedoes (DMG is based on the skill's level),Lyon,,,
Red[7],Accomplish Any Feat!,When this ship fires its Main Guns: 45% (75%) chance to fire a special barrage (DMG is based on the skill's level). This barrage is unaffected by this ship's position in your Main Fleet.,Tosa,,,
Red[8],Admiral Satan,"Increase this ship's FP and TRP by 5.0%(15.0%).
When the battle starts and this ship fires her Main Guns 6 times: increases this ship's DMG dealt by 1.0%(10.0%) for 30s (does not stack; repeat activations only refresh the effect's duration).",Suffren,,,
Red[9],Aerial Support,"When an enemy aircraft is shot down within your fleet's Anti-Air Gun range: increases this ship's FP and AA by 5% (25%) for 8s. Effect does not stack, but shooting down additional aircraft will refresh its duration.",Curacoa,,,
Red[10],Aerial Support,"When an enemy aircraft is shot down within your fleet's Anti-Air Gun range: increases this ship's FP and AA by 5% (25%) for 8s. Effect does not stack, but shooting down additional aircraft will refresh its duration.",Curlew,,,
Red[11],Aerial Support,"When an enemy aircraft is shot down within your fleet's Anti-Air Gun range: increases this ship's FP and AA by 5% (25%) for 8s. Effect does not stack, but shooting down additional aircraft will refresh its duration.",Hanazuki,,,
Red[12],Aerial Support,"When an enemy aircraft is shot down within your fleet's Anti-Air Gun range: increases this ship's FP and AA by 5% (25%) for 8s. Effect does not stack, but shooting down additional aircraft will refresh its duration.",Harutsuki,,,
Red[13],Aerial Support,"When an enemy aircraft is shot down within your fleet's Anti-Air Gun range: increases this ship's FP and AA by 5% (25%) for 8s. Effect does not stack, but shooting down additional aircraft will refresh its duration.",Yoizuki,,,
Red[14],Airborne Dualism,"At the start of the battle, if there are an odd number of µ ships in your fleet: launches a Lv.1 (Lv.10) Dive Bomber airstrike 10s after this ship launches its first Airstrike. If the number of µ ships is even: launches a Lv.1 (Lv.10) Torpedo Bomber airstrike 10s after this ship launches its first Airstrike.",Akagi µ,,,
Red[15],Akatan of Blossoming Flame,"10s after the battle starts, and every 20s after that: fire a special barrage that inflicts a unique burn debuff to enemies. (Barrage damage scales with skill level. The burn lasts 6s and deals 521 damage per tick, with 1 every 3s).",Souryuu META,,,
Red[16],All-Seeing Eye,"At the start of the battle and every 20s: decrease this ship's Speed by 5% for 3s and fire a special barrage (barrage damage scales with skill level and this ship's FP stat). Enemies hit by seaplanes launched from this barrage receive all of the following effects:Decrease the enemy's speed by 15% (30%) for 5s.
If there was a Sakura Empire CV afloat in your fleet when this barrage fired: 50% chance to increase the enemy's aviation damage taken by 1.5% (6%) for 8s. (CVLs do not count.)
70% (100%) chance to inflict one of the following randomly chosen debuffs for 10s:Decrease the enemy's EVA by 10%.
Decrease the enemy's Accuracy by 10%.
Decrease the enemy's damage dealt by 10%.",Chikuma,,,
Red[17],Allies of Justice,If sortied with Sheffield or Sheffield (Muse): increases this ship's FP and TRP by 5% (15%).,Jamaica,,,
Red[18],"Always Prepared, Always Vigiliant","Increases this ship's RLD by 4% (10%). This ship ignores the penalties of the Out of Ammo debuff. Every 15s: 40% (70%) chance to fire a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level; if when the battle starts there is another Dragon Empery ship in your fleet, sets this barrage's activation chance to 50% (100%)).",Huan Ch'ang,,,
Red[19],Amp Laser Circus,"5s after the battle starts, and with a 40% (70%) chance every 20s after that: fires a Lv.1 (Lv.10) laser barrage using the Sky Vittor, and increases this ship's AA by 3.5% (8%) (AA buff can be stacked up to 2 times per battle).",Hass,,,
Red[20],Annihilation Mode,"Every 20s: 40% (70%) chance for this ship to enter Annihilation Mode, firing a powerful barrage and increasing this ship's RLD by 200% for 10s.",Laffey,Needs Retrofit,,
Red[21],Aotan of Shadow-Sealing,"When this ship launches an airstrike: launch an aerial barrage and execute a slashing attack that inflicts a unique flooding debuff. (Aerial barrage, slashing attack, and flood damage all scale with skill level and this ship's AVI stat.)",Souryuu META,,,
Red[22],Apotheosis: Flourishing Assault,"Every 20s: fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level). When this ship fires her 2nd Main Gun volley, if she has at least 60% HP remaining: randomly marks 1 enemy target, prioritizing Humanoid enemies. This ship deals 4.5% (12%) increased DMG to the marked enemy. The mark lasts until Flandre falls below 60% HP as a result of DMG taken.",Flandre,,,
Red[23],APsolute Ammunition,"Change the ammo type of this ship's main guns to Special AP (damage modifiers scale with skill level). Additionally, at Level 8 and higherThis additional effect is not mentioned in-game, each Special AP shell has a 3.5% chance to inflict Armor Break to enemies with heavy armor.
(This Special AP has 75/110/75 (85/120/85) modifiers. Armor Break causes enemies to take 8% more damage for 6s, and does not stack with most sources of armor break, such as from AP BB guns.)",Baltimore,,,
Red[24],Ariadne's Conundrum,"3s after the battle starts, or when this ship launches an airstrike: launches an additional Lv.1 (Lv.10) special airstrike (DMG is based on the skill's level). Increases this ship's DMG dealt by 5% (15%) against enemies that have been afloat for 10s or longer.",Theseus,,,
Red[25],Armageddon Cannon,When this ship fires its Main or Secondary Guns: 20% chance to increase this ship's FP by 20% (40%) for 8s.,York,,,
Red[26],Armament Optimization,"Every 24s: 40% (70%) chance to fire a special barrage. While equipping the Quadruple 356mm Main Gun: decreases this ship's first Salvo load time by 55% (75%), increases its Main Gun Crit Rate by 10% (20%), decreases its Spread Range by 2, and improves the barrage.
Barrage preview (gif) / Enhanced barrage preview (gif)",King George V,,,
Red[27],Armor-Penetrating Arrow,"Once every third time this ship fires its Main Guns: the next shot fired will use µ Blue ammo.
(µ Blue ammo has 110/110/80 (120/120/90) modifiers, and can pierce once like AP.)",Sheffield µ,,,
Red[28],Armor-Piercing Hypercharge,"At the start of the battle, and with a 40% (70%) chance every 20s after that: changes this ship's main gun ammo type to special HEIn-game incorrectly says ""AP"" with 90/100/110 (100/110/120) modifiers and speed 180 knots for 10s.",Baltimore µ,,,
