ColorID,Skill Name,Description,Ships,Retrofit?,Augment?,Fate?
Yellow[0],2nd Torpedo Squadron,"While alive in fleet, increases Reload and Torpedo stat for all Light Cruisers and Destroyers in the same fleet by 5% (20%).",Jintsuu,,,
Yellow[1],4th Combined Fleet Flagship,When sortied as Flagship: increases all your Sakura Empire ships' FP by 4% (10%) and RLD and Accuracy by 5% (20%). Also increases the DMG of all your Sakura Empire Carriers by 5% (20%) (does not include Aviation Battleships).,Nagato,,,
Yellow[2],8th Destroyer Division,"In combat, increases Firepower and Reload by 5% (15%), and Torpedo stat by 4% (8%) for all Destroyers from Destroyer Division 8 (Asashio, Ooshio, Michishio and Arashio).",Asashio,,,
Yellow[3],31-Knot Burke,"When firing main gun, 4% chance to increase Fleet's movement speed, and Escort Fleet's Evasion by 20% (40%) for 8s (5s cooldown, starts on cooldown).",Charles Ausburne,,,
Yellow[4],A Good Girl's Caprice,"When this ship launches an airstrike: subtracts 50 HP from a random ship in your fleet and, with a 40% (70%) chance, fires a Lv.1 (Lv.10) special barrage (DMG is based on the skill's level). The ship who lost HP because of this skill's effect deals 3.5% (8%) more DMG for 8s; after 8s has passed, that ship recovers 1% (5%) of her max HP.",Jade,,,
Yellow[5],AA Protection,While this ship is afloat: decreases the DMG your Main Fleet takes from enemy aircraft by 5% (15%).,North Carolina,,,
Yellow[6],Accompanying Wind,"If in same fleet with Hamakaze, increase own Firepower, Torpedo stat, Reload, and Anti-Air by 4% (10%).",Isokaze,,,
Yellow[7],Adaptive Tactics,"When sortied with at least one Eagle Union CV or CVL, increase your fleet's AA by 2.5% (7.0%), and increase AVI for all Eagle Union CVs and CVLs in your fleet by 5.0% (15.0%). If sortied without any Eagle Union CVs or CVLs, increase this ship's FP by 4.5% (12.0%) and EVA by 5.0% (15.0%).",Baltimore,,,
Yellow[8],Advanced Support Formation,"Increases this ship's AVI by 4% (10%). When sortied with another CV or CVL, decrease all damage your flagship takes by 5% (15%).",Ticonderoga,,,
Yellow[9],Ageless Phoenix,"While this ship is afloat: decreases the FP, TRP, and AVI of all enemy ships by 3% (9%).
(Effect applies only during battle in which Amagi enters.)",Amagi,,,
Yellow[10],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Ardent,Needs Retrofit,,
Yellow[11],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Ariake,Needs Retrofit,,
Yellow[12],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Bellona,,,
Yellow[13],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Benson,,,
Yellow[14],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Curlew,Needs Retrofit,,
Yellow[15],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Hazelwood,,,
Yellow[16],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Stephen Potter,,,
Yellow[17],Air Raid Assistance,"As long as this ship is afloat, increase all damage dealt by all CVs and CVLs in your fleet by 5% (15%). (This skill does not stack with itself or other Air Raid Assistance buffs.)",Yuugure,Needs Retrofit,,
Yellow[18],Air Support,"When this ship launches an Airstrike: increases the AVI of all Carriers (CVs and CVLs) in your fleet, excluding this ship, by 5% (15%) for 8s.",Chitose,,,
Yellow[19],Air Support,"When this ship launches an Airstrike: increases the AVI of all Carriers (CVs and CVLs) in your fleet, excluding this ship, by 5% (15%) for 8s.",Houshou,,,
Yellow[20],Air Support,"When this ship launches an Airstrike: increases the AVI of all Carriers (CVs and CVLs) in your fleet, excluding this ship, by 5% (15%) for 8s.",Long Island,Needs Retrofit,,
Yellow[21],Air Support,"When this ship launches an Airstrike: increases the AVI of all Carriers (CVs and CVLs) in your fleet, excluding this ship, by 5% (15%) for 8s.",Shouhou,Needs Retrofit,,
Yellow[22],Airspace Affirmation,"If Airspace Control status is not Air Denial or Air Incapability: increases own Firepower, Torpedo stat, and Reload by 5% (15%).",I-56,,,
Yellow[23],Airspace Dominance,When this ship launches an Airstrike: increases your Main Fleet's AVI by 5% (15%) and FP by 4% (10%) for 8s.,Centaur,,,
Yellow[24],Alchemy Teacher,"For all Atelier Ryza collab characters in the fleet, makes their itemEquipped ""Atelier Ryza"" Faction Gear

 attacks stronger and increases their Crit Rate by 5% (20%); enemies who have been Item Marked take 1% (10%) more DMG from ""Atelier Ryza"" collab characters.",Reisalin Stout,,,
